"date","mean_temp_filled","precipitation_filled"
19790101,-4.1,0.4
19790102,-2.6,0
19790103,-2.8,0
19790104,-2.6,0
19790105,-0.8,0
19790106,-0.5,0.7
19790107,1.5,5.2
19790108,6.9,0.8
19790109,3.7,7.2
19790110,3.3,2.1
19790111,2.6,2.3
19790112,0.4,0
19790113,-2.6,0
19790114,-0.6,0.8
19790115,3.8,0.1
19790116,5,3.9
19790117,2.1,2.5
19790118,0.8,0.2
19790119,0.8,5.2
19790120,3.1,0
19790121,0,0.1
19790122,-0.2,6.2
19790123,-1,1
19790124,-1.4,1.4
19790125,0.6,5.3
19790126,0.8,0.1
19790127,-1.8,0
19790128,0,7.5
19790129,1.9,4.4
19790130,0.7,0.1
19790131,2.1,2.4
19790201,5.2,10.1
19790202,2.8,0
19790203,0.9,0
19790204,1.6,0
19790205,3.7,0
19790206,1.2,9
19790207,3.3,0.4
19790208,2,0
19790209,2.4,0
19790210,2.8,0
19790211,2.4,4.4
19790212,2.8,6.7
19790213,4.2,9.1
19790214,-0.2,0
19790215,-2.2,0.1
19790216,-1.2,0
19790217,-1.2,0
19790218,-0.6,0
19790219,0.5,0.1
19790220,1.6,0
19790221,2.1,0.6
19790222,4.3,1.8
19790223,4.4,0
19790224,2.9,0
19790225,1.8,0
19790226,1.6,0
19790227,3.7,0.8
19790228,4.4,0.9
19790301,3.5,0.2
19790302,6.8,0
19790303,11,5.3
19790304,7.4,0
19790305,5.4,0
19790306,6.3,2.8
19790307,5.6,0
19790308,5.6,8
19790309,7.8,3.1
19790310,5.8,3.8
19790311,8.2,0
19790312,7.2,1.1
19790313,4.6,20.3
19790314,2.8,0.5
19790315,1.8,3.1
19790316,0.7,11.8
19790317,3.5,0.3
19790318,5.1,0.7
19790319,4.2,1
19790320,7,2.4
19790321,5.7,3.3
19790322,5,0.1
19790323,3.1,0
19790324,5,9.1
19790325,10.2,0.2
19790326,6.2,5.4
19790327,7.2,4.2
19790328,4.8,4.1
19790329,4.8,3.3
19790330,5.5,0.7
19790331,5.4,0.1
19790401,8,2.8
19790402,4.4,3
19790403,3.8,0
19790404,4,0
19790405,4,0.1
19790406,3.1,0
19790407,5.8,28.5
19790408,6.8,7.8
19790409,9.5,0
19790410,11.8,8.4
19790411,13.1,0.2
19790412,10.1,1.9
19790413,12.8,0
19790414,15.2,0
19790415,15.3,0
19790416,11.3,0
19790417,7.3,0
19790418,7.2,0
19790419,10.2,1.4
19790420,10.6,0
19790421,8,0
19790422,8.7,5
19790423,11,11.6
19790424,9,0.9
19790425,7.4,2.9
19790426,8.6,0.1
19790427,9.3,2.4
19790428,9.8,0.4
19790429,8,0.1
19790430,8.2,0.1
19790501,5.6,14.2
19790502,4.6,1.4
19790503,4.6,0
19790504,4.4,0.4
19790505,6.4,0
19790506,6.7,0
19790507,9.4,0
19790508,11.2,0
19790509,10,0
19790510,10.4,17.8
19790511,12.6,0.4
19790512,16,0
19790513,17.4,0
19790514,18.5,0
19790515,19.6,0
19790516,17.4,1.1
19790517,11.8,0.2
19790518,12.2,0
19790519,10.9,0.5
19790520,11.2,15.5
19790521,11.8,7.1
19790522,11.7,3.9
19790523,11.8,1.3
19790524,11,5.7
19790525,9.4,5.6
19790526,11,5.6
19790527,11.3,0
19790528,11.6,4.2
19790529,15.8,0.1
19790530,16.1,2
19790531,13.8,0
19790601,13.6,1.9
19790602,16.4,0
19790603,15,0
19790604,15.9,0
19790605,16.5,0
19790606,12.5,0
19790607,12,5.7
19790608,12.2,0
19790609,15.4,0
19790610,15,4
19790611,13,0.1
19790612,12.4,7.9
19790613,15.3,7.2
19790614,14.4,2.1
19790615,11.8,4.5
19790616,14.6,0
19790617,17,0
19790618,18.7,0
19790619,19,0
19790620,19,0
19790621,17,0.9
19790622,15.2,0
19790623,14.9,0
19790624,13.8,1.2
19790625,14,2.1
19790626,15.2,0
19790627,16,0
19790628,15.5,0
19790629,15.8,0
19790630,14.1,0
19790701,13.8,0
19790702,15.1,0
19790703,16.9,0
19790704,18.4,0
19790705,19.3,0
19790706,19.6,0
19790707,17.6,0
19790708,18,0.5
19790709,18.6,0
19790710,17.2,0
19790711,17.4,0
19790712,18.4,0
19790713,19.3,0
19790714,17.6,0
19790715,18.3,0
19790716,17.8,0
19790717,20,0
19790718,18.9,0
19790719,15.8,0
19790720,17.6,0
19790721,16.2,0
19790722,13.8,0
19790723,15.8,0
19790724,16.7,8.5
19790725,18.9,0
19790726,20.2,0
19790727,22.2,0
19790728,21.9,8
19790729,18.6,0.1
19790730,17.8,2.4
19790731,17.8,2.2
19790801,18.6,0
19790802,17.8,1
19790803,17,3
19790804,17.9,0
19790805,17,0
19790806,19.2,0.2
19790807,19.6,0
19790808,15.7,11
19790809,16.6,3.1
19790810,15,0.3
19790811,19.3,0.9
19790812,20.6,0
19790813,19.2,1.2
19790814,18.6,0
19790815,16,0
19790816,15.4,5.8
19790817,16,2.3
19790818,15.4,0
19790819,16.6,0
19790820,17.4,2.3
19790821,16.6,0.2
19790822,14.8,0
19790823,12.4,2.1
19790824,13.3,0
19790825,13.2,0
19790826,14.6,0
19790827,13.4,0
19790828,13.8,0
19790829,16.4,0
19790830,18.8,0
19790831,18,0
19790901,19.1,3.6
19790902,18.3,0.9
19790903,16.2,0
19790904,16.1,0
19790905,16.8,0
19790906,19.2,0
19790907,17.2,0
19790908,17.9,0
19790909,18.5,0
19790910,17.7,0
19790911,16.8,0
19790912,13.6,0
19790913,15.4,0
19790914,11.4,0
19790915,11.7,0
19790916,13.6,0
19790917,15.4,0
19790918,16.3,5.5
19790919,17.4,7
19790920,14.2,0
19790921,10.5,3.3
19790922,9.2,0
19790923,9.5,0.3
19790924,12.1,0
19790925,13.5,0
19790926,17.2,0.2
19790927,15.4,0
19790928,12.5,0
19790929,12,0
19790930,14.4,0
19791001,14.3,0
19791002,13.6,0
19791003,15.7,0.9
19791004,15.6,0
19791005,11.6,0
19791006,13.2,2.1
19791007,15.9,0
19791008,16.3,10.5
19791009,18.2,9.1
19791010,15.6,11.9
19791011,14.4,0.1
19791012,14.6,0.3
19791013,15.6,0
19791014,13.1,0
19791015,12.4,0
19791016,12.6,0
19791017,12.6,1
19791018,12.2,0
19791019,13.4,0
19791020,12.4,0
19791021,10.6,0
19791022,11.2,0
19791023,9,0
19791024,10.8,7.3
19791025,11.6,18.8
19791026,11.6,3.1
19791027,9.1,0
19791028,5.8,0
19791029,7.7,0
19791030,8.5,3.6
19791031,11.2,0
19791101,10,0
19791102,7.5,5.4
19791103,9.9,0.3
19791104,12.8,0.8
19791105,10,3.4
19791106,10.8,4.8
19791107,10.2,3.6
19791108,6.8,0.6
19791109,6.2,2.3
19791110,3.6,0
19791111,5.7,9.2
19791112,5.6,0
19791113,2.4,2.6
19791114,3.3,1.2
19791115,4.4,1.4
19791116,4.4,0.5
19791117,4.8,0.9
19791118,6,0
19791119,6.2,0
19791120,3.4,0
19791121,3,0.2
19791122,5,0.1
19791123,8.8,0.1
19791124,4.4,0
19791125,7.6,0
19791126,11.3,10.8
19791127,11.2,0
19791128,11.4,0
19791129,8.2,0.1
19791130,10,0
19791201,11.2,0
19791202,11.8,0.6
19791203,10.4,0
19791204,9.8,0
19791205,12.2,4.1
19791206,11.7,0
19791207,11.9,1.8
19791208,11.2,2
19791209,11.4,8.6
19791210,9.6,6.7
19791211,7.6,0.7
19791212,6.8,2
19791213,7.5,13.8
19791214,7.9,3.7
19791215,6.8,0.3
19791216,6.8,0
19791217,5.7,0.2
19791218,5.3,3.1
19791219,3.6,0.4
19791220,3.4,0
19791221,2.8,1.6
19791222,1.3,0.7
19791223,2,0.2
19791224,2.7,0
19791225,0.4,0.1
19791226,1.8,4.3
19791227,6.9,35.6
19791228,4.1,0.2
19791229,4,0.1
19791230,1.8,0
19791231,1.4,0
19800101,-1.8,0
19800102,-1.8,0.2
19800103,2.6,9.9
19800104,5.2,0
19800105,4.8,0
19800106,5.8,0
19800107,5.2,0
19800108,3.8,0.1
19800109,2.6,0
19800110,2.7,0
19800111,1.6,0
19800112,0.4,0
19800113,0.2,0
19800114,-1.5,0
19800115,-0.1,0.1
19800116,3,0
19800117,2.4,0
19800118,1.2,0
19800119,1.8,0.4
19800120,4.2,7.9
19800121,4.8,2.3
19800122,6.4,0.3
19800123,6.1,0
19800124,3.5,0
19800125,3.1,0
19800126,1.6,0
19800127,-0.5,0
19800128,1.6,0
19800129,6,0.2
19800130,7.6,5
19800131,8.2,3.3
19800201,3.2,3
19800202,4.9,2
19800203,6.7,5.3
19800204,5.8,4.8
19800205,6.2,0.4
19800206,6.4,4.3
19800207,6.7,2
19800208,7.6,0.4
19800209,9.6,0
19800210,7.4,0
19800211,7.6,0
19800212,7.3,0
19800213,6.4,0
19800214,7.2,1.3
19800215,9.4,0.6
19800216,6,2.6
19800217,8.2,0
19800218,7.6,0
19800219,7.6,0
19800220,6.4,0
19800221,6.6,1.8
19800222,8.6,5.7
19800223,5.4,0.2
19800224,4,2.4
19800225,5.7,0
19800226,1.9,0
19800227,2.8,0
19800228,5.5,0
19800229,7.2,0
19800301,7.4,0
19800302,8,0
19800303,4,0
19800304,3.6,0
19800305,3.8,2.1
19800306,7.4,8.9
19800307,6,3.4
19800308,5.6,0
19800309,6.4,0.9
19800310,6,0.3
19800311,6.6,1.4
19800312,7.4,5.2
19800313,5.8,0
19800314,4.4,0
19800315,3.6,0
19800316,4.4,0.8
19800317,3.8,13.3
19800318,4,3.3
19800319,2.4,0.5
19800320,2.6,0
19800321,1.1,0
19800322,1.6,0
19800323,5.2,1.3
19800324,8,11.3
19800325,8.2,0
19800326,7,6.6
19800327,9,0.8
19800328,10.1,5.7
19800329,9.2,0
19800330,5.8,0.1
19800331,8.4,6.2
19800401,10.6,13.2
19800402,7.8,0.8
19800403,7.6,0
19800404,7.2,0
19800405,7.7,0
19800406,8.8,0
19800407,8.1,0.1
19800408,7.2,0
19800409,7.1,0
19800410,8.6,0
19800411,8.6,0
19800412,10.5,0
19800413,13.6,0
19800414,14.5,0
19800415,14.6,0
19800416,14.2,0
19800417,14,0
19800418,12.8,0
19800419,12.1,0
19800420,6.4,0
19800421,7.8,1.2
19800422,9.4,0.2
19800423,9.4,0
19800424,10.2,0
19800425,9.5,0
19800426,5.8,1.4
19800427,8.6,0.4
19800428,9.4,0.1
19800429,8.6,2.4
19800430,9.2,1.8
19800501,12,0
19800502,11.4,0
19800503,10.4,0
19800504,10.4,0
19800505,8.7,0
19800506,8.2,0
19800507,7.2,0
19800508,8,0
19800509,7,0
19800510,11.1,0
19800511,14.4,0
19800512,18.3,0
19800513,17.8,0
19800514,15.8,0
19800515,14.3,0
19800516,14.2,0
19800517,13.8,0
19800518,15.3,0
19800519,16.5,1
19800520,11.8,3.4
19800521,15.6,0
19800522,12.8,0
19800523,10,0
19800524,11.8,0
19800525,12.9,0
19800526,13.6,0
19800527,14.3,0
19800528,12.9,0
19800529,11.9,0
19800530,10.2,8.5
19800531,10.2,13.2
19800601,13.5,0
19800602,13.8,0
19800603,19.6,0
19800604,21.8,0
19800605,22,0
19800606,15.5,0
19800607,13.9,0.4
19800608,14,0
19800609,14.2,0.4
19800610,15.8,5.3
19800611,15.4,0
19800612,17.2,4.2
19800613,18.8,41.7
19800614,16.6,0
19800615,16.1,0.4
19800616,15.7,1.2
19800617,13.8,10.2
19800618,15,0
19800619,16,0
19800620,13,0.2
19800621,14.4,0.3
19800622,12.8,5.1
19800623,11.6,8.6
19800624,13.6,2.7
19800625,13.2,4.9
19800626,15.2,0.5
19800627,13.7,9.5
19800628,14.5,1.9
19800629,14.5,0
19800630,14.2,8.7
19800701,13,0.6
19800702,15.6,0
19800703,16.7,4.8
19800704,15.3,0
19800705,14.6,0
19800706,14.8,1.6
19800707,14.7,8
19800708,13.7,2.9
19800709,13.2,0.2
19800710,12.4,0
19800711,14.4,1.1
19800712,14.6,0.3
19800713,14.4,10
19800714,14.2,3.3
19800715,13.2,0.2
19800716,14.6,0
19800717,13.2,0.1
19800718,15.8,5.5
19800719,16.9,3.4
19800720,15,0.2
19800721,13.8,0
19800722,15.6,0
19800723,18.2,0
19800724,17.4,0
19800725,21.2,13.6
19800726,19.8,3.3
19800727,17.4,0
19800728,18.4,0
19800729,21.8,0
19800730,17.8,0.2
19800731,18,0
19800801,18,0
19800802,19.6,0
19800803,19.6,0
19800804,19.2,0.1
19800805,18,0
19800806,18.2,0
19800807,20.8,0
19800808,16,1.1
19800809,18,0
19800810,18.8,0
19800811,17.8,3.1
19800812,15.5,13.1
19800813,18.6,0
19800814,20.9,24
19800815,20.6,0
19800816,18.2,0.4
19800817,18,0.6
19800818,18.1,0
19800819,15.9,0
19800820,18.4,0.1
19800821,18.1,0
19800822,13.8,0
19800823,12.8,0
19800824,14.6,0
19800825,14.8,0
19800826,17.4,0
19800827,17.8,0
19800828,18.2,0.2
19800829,17.8,8.7
19800830,17,0.9
19800831,15.4,0
19800901,15.7,0
19800902,16.2,0
19800903,17.6,0
19800904,16,2.5
19800905,16,0.5
19800906,15.9,0
19800907,16.8,0.3
19800908,17.2,0
19800909,13,1.1
19800910,16.2,0
19800911,16.6,0
19800912,17.8,0
19800913,15,0
19800914,17.2,0
19800915,16.8,0.1
19800916,17.5,9.7
19800917,15.1,0
19800918,15.8,0.3
19800919,18.6,0.6
19800920,17.4,4.4
19800921,17.6,2.9
19800922,15.4,5.1
19800923,16,0.2
19800924,15.6,0
19800925,14.4,0
19800926,14.8,0
19800927,15.6,0
19800928,13.3,0
19800929,15.2,0
19800930,15,0
19801001,12.3,0
19801002,11.1,0
19801003,11,0.6
19801004,12.2,0
19801005,9.8,1.6
19801006,12.2,10.7
19801007,11,0.9
19801008,10,0
19801009,7.8,0
19801010,5.6,18.1
19801011,9.6,0
19801012,9.4,0
19801013,6.9,1
19801014,8.4,0
19801015,9,35.4
19801016,10.1,10.2
19801017,8.7,2.1
19801018,6.7,0
19801019,7,6.3
19801020,9.8,0
19801021,11,0.3
19801022,12.8,2.4
19801023,11.2,0
19801024,8.8,1.1
19801025,8.8,0.4
19801026,12,0.3
19801027,13.6,0.1
19801028,15.6,5
19801029,10.3,0
19801030,6.8,0
19801031,7,0
19801101,6.4,0
19801102,4.2,0
19801103,3.1,0
19801104,3,0.3
19801105,3.9,0.5
19801106,3.7,5.9
19801107,2.4,0
19801108,3.7,0.9
19801109,5.2,0
19801110,5.3,0
19801111,5.5,0.1
19801112,3.9,0
19801113,4.6,0
19801114,9.1,7
19801115,12.4,3.8
19801116,13.6,0.3
19801117,12.6,2.8
19801118,8.5,0.1
19801119,8.5,0
19801120,12,0
19801121,12.2,1.1
19801122,13.2,0.7
19801123,13.9,0
19801124,14.2,0
19801125,7,0.3
19801126,4.6,0.1
19801127,3.9,1.5
19801128,2.4,1
19801129,1.8,0
19801130,2.8,0
19801201,2.1,0.3
19801202,3,0
19801203,3,0
19801204,4.8,0.4
19801205,6.5,1.7
19801206,4,0
19801207,1.2,0
19801208,-0.2,0
19801209,2.4,0
19801210,6.8,1
19801211,10,0.2
19801212,10.4,1.2
19801213,11.2,0.2
